proj,files,totalLines,commentLines,blankLines,lineOfCodes,class,property,method,functions,operator,size(bytes),size
snowFall\snowFall.vbproj,snowFall\Context\RPC\BootstrapSocket.vb,114,0,26,88,1,1,2,5,0,3783,3.78 KB
snowFall\snowFall.vbproj,snowFall\Context\RPC\MasterContext.vb,154,37,25,92,1,2,5,4,0,5928,5.93 KB
snowFall\snowFall.vbproj,snowFall\Context\RPC\Protocols.vb,55,0,13,42,3,4,6,0,0,1545,1.55 KB
snowFall\snowFall.vbproj,snowFall\Context\RPC\RemoteEnvironment.vb,73,20,10,43,1,0,1,2,0,2637,2.64 KB
snowFall\snowFall.vbproj,snowFall\Context\ContextAnalysis.vb,15,3,5,7,1,0,0,2,0,485,485.00 B
snowFall\snowFall.vbproj,snowFall\Context\RunParallel.vb,153,8,19,126,1,7,2,4,0,6331,6.33 KB
snowFall\snowFall.vbproj,snowFall\Context\Serialization.vb,96,27,12,57,1,0,1,4,0,3513,3.51 KB
snowFall\snowFall.vbproj,snowFall\Protocol\workerList.vb,7,0,2,5,1,3,0,0,0,150,150.00 B
snowFall\snowFall.vbproj,snowFall\Protocol\HostProtocol.vb,26,4,5,17,1,0,0,3,0,997,997.00 B
snowFall\snowFall.vbproj,snowFall\Parallel.vb,182,40,21,121,1,0,0,7,0,6826,6.83 KB
snowFall\snowFall.vbproj,<project>,875,139,138,598,12,17,17,31,0,32195,32.20 KB
snowFall\test\test.vbproj,test\Program.vb,127,4,27,96,2,1,3,3,2,4415,4.42 KB
snowFall\test\test.vbproj,<project>,127,4,27,96,2,1,3,3,2,4415,4.42 KB
snowFall\snowFall.vbproj,snowFall\Context\RPC\BootstrapSocket.vb,114,0,26,88,1,1,2,5,0,3783,3.78 KB
snowFall\snowFall.vbproj,snowFall\Context\RPC\MasterContext.vb,154,37,25,92,1,2,5,4,0,5928,5.93 KB
snowFall\snowFall.vbproj,snowFall\Context\RPC\Protocols.vb,55,0,13,42,3,4,6,0,0,1545,1.55 KB
snowFall\snowFall.vbproj,snowFall\Context\RPC\RemoteEnvironment.vb,73,20,10,43,1,0,1,2,0,2637,2.64 KB
snowFall\snowFall.vbproj,snowFall\Context\ContextAnalysis.vb,15,3,5,7,1,0,0,2,0,485,485.00 B
snowFall\snowFall.vbproj,snowFall\Context\RunParallel.vb,153,8,19,126,1,7,2,4,0,6331,6.33 KB
snowFall\snowFall.vbproj,snowFall\Context\Serialization.vb,96,27,12,57,1,0,1,4,0,3513,3.51 KB
snowFall\snowFall.vbproj,snowFall\Protocol\workerList.vb,7,0,2,5,1,3,0,0,0,150,150.00 B
snowFall\snowFall.vbproj,snowFall\Protocol\HostProtocol.vb,26,4,5,17,1,0,0,3,0,997,997.00 B
snowFall\snowFall.vbproj,snowFall\Parallel.vb,182,40,21,121,1,0,0,7,0,6826,6.83 KB
snowFall\snowFall.vbproj,<project>,875,139,138,598,12,17,17,31,0,32195,32.20 KB
snowFall\test\test.vbproj,test\Program.vb,127,4,27,96,2,1,3,3,2,4415,4.42 KB
snowFall\test\test.vbproj,<project>,127,4,27,96,2,1,3,3,2,4415,4.42 KB
E:\GCModeller\src\R-sharp\snowFall,<root>,4008,572,660,2776,56,72,80,136,8,146440,146.44 KB
